WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Awjilah,LY,29.1081,21.2869,84.04,13,68,5.86,broken clouds
80,Sinnamary,GF,5.3833,-52.95,80.1,84,96,12.26,overcast clouds
81,Juneau,US,58.3019,-134.4197,36.21,97,75,0.0,fog
82,Makakilo City,US,21.3469,-158.0858,73.72,73,0,6.91,clear sky
83,Bambous Virieux,MU,-20.3428,57.7575,81.21,78,75,6.91,broken clouds
84,Harper,LR,4.375,-7.7169,86.86,67,100,10.13,overcast clouds
85,Severo-Kurilsk,RU,50.6789,156.125,25.52,77,14,5.75,few clouds
86,Satna,IN,24.5833,80.8333,95.5,7,0,6.98,clear sky
87,Linjiang,CN,41.8069,126.9078,53.69,89,100,2.86,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,3.31,94,100,9.35,overcast clouds
89,Parlakimidi,IN,18.7667,84.0833,82.71,70,95,7.09,overcast clouds
90,Provideniya,RU,64.3833,-173.3,16.65,96,100,4.5,snow
91,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,75,75,28.77,broken clouds
92,Saint-Joseph,RE,-21.3667,55.6167,80.2,82,30,11.61,light rain
93,Ust-Maya,RU,60.4167,134.5333,5.65,96,67,2.44,broken clouds
94,San Felipe,VE,10.3399,-68.7425,77.04,78,99,6.11,overcast clouds
95,Valdivia,CL,-39.8142,-73.2459,46.49,98,88,1.79,moderate rain
96,Lompoc,US,34.6391,-120.4579,50.14,82,100,28.01,mist
97,Cam Ranh,VN,11.9214,109.1591,76.96,73,40,9.22,scattered clouds
98,Grootfontein,NA,-19.5667,18.1167,81.97,44,93,8.05,overcast clouds
99,Nuuk,GL,64.1835,-51.7216,23.61,80,75,10.36,broken clouds
100,Ostrovnoy,RU,68.0531,39.5131,36.14,99,100,19.37,overcast clouds
101,Ilulissat,GL,69.2167,-51.1,10.42,79,75,11.5,light shower snow
102,Hithadhoo,MV,-0.6,73.0833,84.07,67,94,7.65,overcast clouds
103,Cabra,ES,37.4725,-4.4421,68.22,51,8,6.98,clear sky
104,Sungaipenuh,ID,-2.0833,101.3833,66.13,96,100,0.4,overcast clouds
105,Khilok,RU,51.3674,110.4676,30.85,96,100,13.22,snow
106,Georgetown,MY,5.4112,100.3354,82.35,88,20,5.01,few clouds
107,Pangkalanbuun,ID,-2.6833,111.6167,74.17,96,100,2.53,overcast clouds
108,Kodiak,US,57.79,-152.4072,27.91,46,0,10.36,clear sky
109,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,20.71,light snow
110,Cape Town,ZA,-33.9258,18.4232,81.1,30,0,13.8,clear sky
111,Pangnirtung,CA,66.1451,-65.7125,10.4,79,100,5.75,light snow
112,Saldanha,ZA,-33.0117,17.9442,86.05,42,0,13.71,clear sky
113,Pitimbu,BR,-7.4706,-34.8086,86.59,69,86,14.56,overcast clouds
114,Komsomolskiy,UZ,40.4272,71.7189,77.72,33,97,4.61,overcast clouds
115,Puerto Ayora,EC,-0.7393,-90.3518,79.43,78,100,4.05,overcast clouds
116,Maniitsoq,GL,65.4167,-52.9,18.01,75,40,1.7,scattered clouds
117,Necochea,AR,-38.5473,-58.7368,68.4,69,14,8.9,few clouds
118,Marrakesh,MA,31.6315,-8.0083,84.27,18,0,3.44,clear sky
119,Banikoara,BJ,11.2985,2.4386,108.91,15,93,1.63,overcast clouds
120,Ust-Kuyga,RU,70.0167,135.6,-2.38,97,100,5.61,overcast clouds
121,Pacific Grove,US,36.6177,-121.9166,48.31,86,40,5.75,scattered clouds
122,Victoria,HK,22.2855,114.1577,75.18,71,0,8.01,clear sky
123,Sorong,ID,-0.8833,131.25,80.11,84,100,10.56,overcast clouds
